pid,name,create_time,cores,cpu_usage,status,nice,memory_usage,n_threads,username
1707,gvfs-goa-volume-monitor,2021-03-02 21:06:28,4,0.0,sleeping,0,978944,3,ramos
1711,goa-daemon,2021-03-02 21:06:28,4,0.0,sleeping,0,34664448,4,ramos
1718,goa-identity-service,2021-03-02 21:06:28,4,0.0,sleeping,0,532480,3,ramos
1725,gvfs-mtp-volume-monitor,2021-03-02 21:06:28,4,0.0,sleeping,0,659456,3,ramos
1729,gvfs-afc-volume-monitor,2021-03-02 21:06:28,4,0.0,sleeping,0,692224,4,ramos
1744,gdm-x-session,2021-03-02 21:06:28,4,0.0,sleeping,0,290816,3,ramos
1746,Xorg,2021-03-02 21:06:28,4,0.0,sleeping,0,25255936,10,ramos
1764,gnome-session-binary,2021-03-02 21:06:29,4,0.0,sleeping,0,24576,3,ramos
1831,ssh-agent,2021-03-02 21:06:29,4,0.0,sleeping,0,0,1,ramos
1853,at-spi-bus-launcher,2021-03-02 21:06:29,4,0.0,sleeping,0,393216,4,ramos
1858,dbus-daemon,2021-03-02 21:06:29,4,0.0,sleeping,0,565248,1,ramos
1868,gnome-session-ctl,2021-03-02 21:06:29,4,0.0,sleeping,0,8192,2,ramos
1875,gnome-session-binary,2021-03-02 21:06:29,4,0.0,sleeping,0,1855488,4,ramos
1889,gnome-shell,2021-03-02 21:06:29,4,0.0,sleeping,0,209477632,13,ramos
1914,ibus-daemon,2021-03-02 21:06:30,4,0.0,sleeping,0,1495040,3,ramos
1918,ibus-memconf,2021-03-02 21:06:30,4,0.0,sleeping,0,360448,3,ramos
1919,ibus-extension-gtk3,2021-03-02 21:06:30,4,0.0,sleeping,0,2654208,4,ramos
1921,ibus-x11,2021-03-02 21:06:30,4,0.0,sleeping,0,2142208,3,ramos
1926,ibus-portal,2021-03-02 21:06:30,4,0.0,sleeping,0,1396736,3,ramos
1935,at-spi2-registryd,2021-03-02 21:06:30,4,0.0,sleeping,0,487424,3,ramos
1939,xdg-permission-store,2021-03-02 21:06:30,4,0.0,sleeping,0,417792,3,ramos
1943,gnome-shell-calendar-server,2021-03-02 21:06:30,4,0.0,sleeping,0,3366912,6,ramos
1950,evolution-source-registry,2021-03-02 21:06:30,4,0.0,sleeping,0,4603904,4,ramos
1958,dconf-service,2021-03-02 21:06:30,4,0.0,sleeping,0,888832,3,ramos
1962,gvfsd-metadata,2021-03-02 21:06:31,4,0.0,sleeping,0,872448,3,ramos
1977,evolution-calendar-factory,2021-03-02 21:06:31,4,0.0,sleeping,0,14626816,13,ramos
1996,evolution-addressbook-factory,2021-03-02 21:06:31,4,0.0,sleeping,0,1556480,6,ramos
2006,gjs,2021-03-02 21:06:31,4,0.0,sleeping,0,4943872,7,ramos
2017,gvfsd-trash,2021-03-02 21:06:31,4,0.0,sleeping,0,3043328,3,ramos
2030,gsd-a11y-settings,2021-03-02 21:06:31,4,0.0,sleeping,0,548864,4,ramos
2031,gsd-color,2021-03-02 21:06:31,4,0.0,sleeping,0,3698688,4,ramos
2032,gsd-datetime,2021-03-02 21:06:31,4,0.0,sleeping,0,442368,4,ramos
2033,gsd-housekeeping,2021-03-02 21:06:31,4,0.0,sleeping,0,761856,4,ramos
2034,gsd-keyboard,2021-03-02 21:06:31,4,0.0,sleeping,0,2293760,4,ramos
2035,gsd-media-keys,2021-03-02 21:06:31,4,0.0,sleeping,0,5111808,6,ramos
2036,gsd-power,2021-03-02 21:06:31,4,0.0,sleeping,0,4083712,5,ramos
2037,gsd-print-notifications,2021-03-02 21:06:31,4,0.0,sleeping,0,696320,3,ramos
2039,gsd-rfkill,2021-03-02 21:06:31,4,0.0,sleeping,0,589824,3,ramos
2040,gsd-screensaver-proxy,2021-03-02 21:06:31,4,0.0,sleeping,0,466944,3,ramos
2041,gsd-sharing,2021-03-02 21:06:31,4,0.0,sleeping,0,1630208,4,ramos
2045,gsd-smartcard,2021-03-02 21:06:31,4,0.0,sleeping,0,503808,5,ramos
2046,gsd-sound,2021-03-02 21:06:31,4,0.0,sleeping,0,475136,4,ramos
2047,gsd-usb-protection,2021-03-02 21:06:31,4,0.0,sleeping,0,544768,4,ramos
2053,gsd-wacom,2021-03-02 21:06:31,4,0.0,sleeping,0,2306048,3,ramos
2057,ibus-engine-simple,2021-03-02 21:06:31,4,0.0,sleeping,0,671744,3,ramos
2062,gsd-wwan,2021-03-02 21:06:31,4,0.0,sleeping,0,516096,4,ramos
2065,gsd-xsettings,2021-03-02 21:06:31,4,0.0,sleeping,0,3207168,4,ramos
2119,gsd-disk-utility-notify,2021-03-02 21:06:31,4,0.0,sleeping,0,1171456,3,ramos
2135,snap-store,2021-03-02 21:06:31,4,0.0,sleeping,0,213315584,5,ramos
