pid,name,create_time,cores,cpu_usage,nice,memory_usage,n_threads,childrens,username,FinishTime
23811,dpkg-deb,2021-05-09 11:46:50,4,0.0,0,0.0,1,"[23812, 23813]",root,1620553626
23812,dpkg-deb,2021-05-09 11:46:50,4,0.0,0,0.0,1,[],root,1620553626
23813,dpkg-deb,2021-05-09 11:46:50,4,0.0,0,0.0,1,[],root,1620553626
21017,kworker/u9:0,2021-05-09 11:36:53,4,0.0,-20,0.0,1,[],root,1620553640
23785,sudo,2021-05-09 11:46:46,4,0.0,0,0.0,1,[23786],root,1620553653
23786,dpkg,2021-05-09 11:46:49,4,20.3,0,0.0,1,"[24326, 23978, 23811]",root,1620553653
23828,gnome-calculator-search-provider,2021-05-09 11:47:00,4,0.0,0,9695232.0,3,[],ramos,1620553653
23830,org.gnome.Chara,2021-05-09 11:47:00,4,0.1,0,16756736.0,7,[],ramos,1620553653
23115,kworker/u8:0,2021-05-09 11:42:55,4,0.0,0,0.0,1,[],root,1620553679
24387,PK-Backend,2021-05-09 11:47:33,4,0.0,0,0.0,1,[24436],root,1620553679
23826,gnome-control-center-search-provider,2021-05-09 11:47:00,4,0.0,0,9957376.0,3,[],ramos,1620553692
24217,tracker-store,2021-05-09 11:47:14,4,1.7,0,20938752.0,5,[],ramos,1620553705
24610,oosplash,2021-05-09 11:47:50,4,0.0,0,1167360.0,2,[24666],ramos,1620553705
24666,soffice.bin,2021-05-09 11:47:51,4,4.3,0,177000448.0,5,[],ramos,1620553705
24824,tracker-store,2021-05-09 11:48:45,4,0.3,0,20418560.0,5,[],ramos,1620553769
23691,chrome,2021-05-09 11:46:23,4,3.1,0,4329472.0,1,[],ramos,1620553783
24919,chrome,2021-05-09 11:49:23,4,0.0,0,33632256.0,12,[],ramos,1620553783
25155,chrome,2021-05-09 11:49:39,4,0.0,0,10977280.0,12,[],ramos,1620553797
24943,chrome,2021-05-09 11:49:25,4,0.0,0,958464.0,4,[],ramos,1620553908
19648,kworker/3:1-events,2021-05-09 11:22:32,1,0.2,0,0.0,1,[],root,1620553921
15373,kworker/2:3-events,2021-05-09 09:46:35,1,2.5,0,0.0,1,[],root,1620553935
19513,kworker/1:1-events,2021-05-09 11:14:52,1,0.0,0,0.0,1,[],root,1620553935
23505,kworker/2:1-events,2021-05-09 11:45:26,1,0.0,0,0.0,1,[],root,1620553935
23506,kworker/2:2-events,2021-05-09 11:45:26,1,1.3,0,0.0,1,[],root,1620553935
23912,kworker/1:2-cgroup_destroy,2021-05-09 11:47:01,1,0.0,0,0.0,1,[],root,1620553935
24264,kworker/u9:0,2021-05-09 11:47:15,4,0.0,-20,0.0,1,[],root,1620553949
24330,packagekitd,2021-05-09 11:47:18,4,2.8,0,0.0,3,[24387],root,1620553993
25431,chrome,2021-05-09 11:56:19,4,0.0,0,10985472.0,12,[],ramos,1620554201
24952,chrome,2021-05-09 11:49:27,4,19.5,0,85180416.0,13,[],ramos,1620554228
25078,chrome,2021-05-09 11:49:35,4,0.0,0,4358144.0,10,[],ramos,1620554228
25516,chrome,2021-05-09 11:57:07,4,0.0,0,9662464.0,12,[],ramos,1620554253
25344,kworker/u9:0,2021-05-09 11:52:27,4,0.0,-20,0.0,1,[],root,1620554266
25457,chrome,2021-05-09 11:56:55,4,3.1,0,25300992.0,11,[],ramos,1620554279
25489,chrome,2021-05-09 11:57:02,4,0.2,0,7294976.0,12,[],ramos,1620554279
22018,kworker/2:0-events,2021-05-09 11:39:48,1,0.9,0,0.0,1,[],root,1620554292
23772,kworker/3:0-events,2021-05-09 11:46:38,1,0.0,0,0.0,1,[],root,1620554292
25504,chrome,2021-05-09 11:57:03,4,8.5,0,35872768.0,12,[],ramos,1620554292
25560,chrome,2021-05-09 11:58:05,4,0.7,0,11005952.0,12,[],ramos,1620554318
25451,chrome,2021-05-09 11:56:51,4,0.0,0,1032192.0,4,[],ramos,1620554357
18425,chrome,2021-05-09 10:40:45,4,2.7,0,67751936.0,12,[],ramos,1620554396
25574,chrome,2021-05-09 11:58:08,4,0.0,0,4313088.0,10,[],ramos,1620554396
25622,chrome,2021-05-09 11:59:47,4,0.0,0,27348992.0,12,[],ramos,1620554409
25642,chrome,2021-05-09 11:59:55,4,0.0,0,30019584.0,12,[],ramos,1620554422
25656,chrome,2021-05-09 11:59:58,4,0.0,0,9715712.0,12,[],ramos,1620554422
25687,chrome,2021-05-09 12:00:18,4,0.9,0,10272768.0,12,[],ramos,1620554447
25614,chrome,2021-05-09 11:59:44,4,0.0,0,1007616.0,4,[],ramos,1620554525
25540,chrome,2021-05-09 11:57:54,4,5.8,0,37122048.0,12,[],ramos,1620554756
25699,chrome,2021-05-09 12:00:19,4,0.0,0,4276224.0,10,[],ramos,1620554756
25903,chrome,2021-05-09 12:06:04,4,0.0,0,10997760.0,12,[],ramos,1620554782
25538,kworker/u9:0,2021-05-09 11:57:38,4,0.0,-20,0.0,1,[],root,1620554885
25960,gedit,2021-05-09 12:07:22,4,5.5,0,25649152.0,5,[],ramos,1620554911
21137,kworker/u8:1-ext4-rsv-conversion,2021-05-09 11:37:30,4,1.0,0,0.0,1,[],root,1620555092
25977,kworker/u9:0,2021-05-09 12:08:01,4,0.0,-20,0.0,1,[],root,1620555194
25357,kworker/2:1-events,2021-05-09 11:52:59,1,0.0,0,0.0,1,[],root,1620555510
26165,fprintd,2021-05-09 12:18:35,4,0.0,0,0.0,4,[],root,1620555549
26088,kworker/u9:0,2021-05-09 12:13:59,4,0.0,-20,0.0,1,[],root,1620555562
26031,kworker/u8:0-events_power_efficient,2021-05-09 12:11:47,4,0.1,0,0.0,1,[],root,1620555744
15187,kworker/0:0-cgroup_destroy,2021-05-09 00:14:35,1,0.3,0,0.0,1,[],root,1620555849
19448,kworker/0:2-events,2021-05-09 11:13:30,1,0.0,0,0.0,1,[],root,1620555849
26220,kworker/2:1-events,2021-05-09 12:19:06,1,0.0,0,0.0,1,[],root,1620555849
26221,kworker/2:2,2021-05-09 12:19:06,1,0.0,0,0.0,1,[],root,1620555849
26325,tracker-extract,2021-05-09 12:24:02,4,0.0,19,19640320.0,17,[],ramos,1620555862
26224,kworker/u9:0,2021-05-09 12:19:12,4,0.0,-20,0.0,1,[],root,1620555875
18439,chrome,2021-05-09 10:40:48,4,0.1,0,6012928.0,11,[],ramos,1620555889
19255,chrome,2021-05-09 11:03:48,4,0.5,0,34672640.0,11,[],ramos,1620555889
26318,tracker-store,2021-05-09 12:24:02,4,0.1,0,12787712.0,5,[],ramos,1620555889
18842,chrome,2021-05-09 10:49:31,4,1.6,0,48128000.0,12,[],ramos,1620555903
26419,chrome,2021-05-09 12:24:53,4,0.0,0,9859072.0,12,[],ramos,1620555930
26446,systemd-hostnamed,2021-05-09 12:25:09,4,0.0,0,0.0,1,[],root,1620555942
26486,eog,2021-05-09 12:25:48,4,0.0,0,20283392.0,7,[],ramos,1620555968
26510,systemd-hostnamed,2021-05-09 12:25:59,4,0.0,0,0.0,1,[],root,1620556007
26368,chrome,2021-05-09 12:24:40,4,0.0,0,1032192.0,4,[],ramos,1620556034
26625,chrome,2021-05-09 12:27:10,4,0.0,0,10309632.0,12,[],ramos,1620556047
26137,kworker/u8:1-phy0,2021-05-09 12:17:03,4,0.1,0,0.0,1,[],root,1620556060
26659,tracker-extract,2021-05-09 12:27:20,4,0.0,19,19316736.0,17,[],ramos,1620556060
26698,tracker-extract,2021-05-09 12:27:34,4,0.0,19,19271680.0,17,[],ramos,1620556074
26643,tracker-store,2021-05-09 12:27:19,4,0.4,0,20840448.0,5,[],ramos,1620556087
26621,systemd-hostnamed,2021-05-09 12:27:06,4,0.0,0,0.0,1,[],root,1620556101
16297,kworker/1:3-events,2021-05-09 09:46:48,1,0.2,0,0.0,1,[],root,1620556181
