EventId,EventTemplate,Occurrences
c8b6b98e,(root) CMD ( cd / && run-parts --report /etc/cron.hourly),6
031a8489,Initial synchronization to time server <*>:123 (ntp.ubuntu.com).,1
92a6ef23,<*> usb <*> <*> SuperSpeed Gen 1 USB device number <*> using xhci_hcd,3
096e32b2,"<*> usb <*> New USB device found, idVendor=05e3, <*> bcdDevice= 6.54",2
d6ff29c4,<*> usb <*> New USB device <*> <*> <*> <*>,6
a4c5b861,<*> usb <*> Product: <*> Hub,2
c77d1c7c,<*> usb <*> Manufacturer: <*>,4
002cfa8b,<*> hub <*> USB hub found,2
27599108,<*> hub <*> 4 ports detected,2
2f5e69c1,<*> usb <*> <*> <*> USB device number <*> using xhci_hcd,6
e1e4f948,[36925.342251] usb 2-3.1: Product: USB 10/100/1000 LAN,1
c217648f,<*> usb <*> SerialNumber: <*>,2
b6817be1,<*> usbcore: registered new interface driver <*>,2
3d1d48eb,[36925.568940] r8152 2-3.1:1.0: load rtl8153b-2 v1 10/23/19 successfully,1
dbb9dcd3,[36925.603433] r8152 2-3.1:1.0 eth0: v1.11.11,1
68924e1a,<info> [1614424974.4117] manager: (eth0): new Ethernet device (/org/freedesktop/NetworkManager/Devices/8),1
b343b57d,Using default interface naming scheme 'v245'.,2
fc525586,"ethtool: autonegotiation is unset or enabled, the speed and duplex are not writable.",2
b79575f7,[36925.741654] r8152 2-3.1:1.0 enx00e04c6acbf8: renamed from eth0,1
3b142f09,<info> [1614424974.5696] device (eth0): interface index 6 renamed iface from 'eth0' to 'enx00e04c6acbf8',1
c5d5fe25,<info> [1614424974.5955] settings: (enx00e04c6acbf8): created default wired connection 'Conexión cableada 1',1
69eb79ba,<info> [1614424977.1753] device (enx00e04c6acbf8): carrier: link connected,1
51a702f1,<*> r8152 2-3.1:1.0 enx00e04c6acbf8: carrier on,2
e891d468,<info> [1614424977.1952] policy: auto-activating connection 'Conexión cableada 1' (58dc505a-ce5a-39db-9618-d8ff94e531c3),1
7621da33,<info> [1614424977.1965] device (enx00e04c6acbf8): Activation: starting connection 'Conexión cableada 1' (58dc505a-ce5a-39db-9618-d8ff94e531c3),1
cf670cc6,Starting Network Manager Script Dispatcher Service...,2
16a3ed3f,Started Network Manager Script Dispatcher Service.,1
3c24e07d,<info> [1614424981.6747] policy: set 'Conexión cableada 1' (enx00e04c6acbf8) as default for IPv4 routing and DNS,1
e2c03366,[36934.708057] wlp1s0: deauthenticating from e2:41:36:c8:64:50 by local choice (Reason: 3=DEAUTH_LEAVING),1
cccc45a3,Starting Load/Save RF Kill Switch Status...,2
9ea3922a,Started Load/Save RF Kill Switch Status.,2
a74e4940,wlp1s0: CTRL-EVENT-DISCONNECTED bssid=e2:41:36:c8:64:50 reason=3 locally_generated=1,1
feb9a4f7,Interface <*> no longer relevant for mDNS.,4
e73ff3a5,Leaving mDNS multicast group on interface <*> with address <*>,4
6f1feb4f,<info> [1614424983.6122] manager: rfkill: Wi-Fi hardware radio set disabled,1
cd117b9d,<info> <*> dhcp4 <*> canceled DHCP transaction,2
f7b5c6ed,Withdrawing address record for <*> on <*>,4
357a72d2,rfkill: WLAN soft blocked,2
94a6558c,"<info> [1614424983.6301] audit: op=""radio-control"" arg=""wireless-enabled"" pid=1558 uid=1000 result=""success""",1
a0555f95,<info> [1614424983.6307] manager: rfkill: Wi-Fi now disabled by radio killswitch,1
613363bb,nl80211: deinit <*> disabled_11b_rates=0,2
de174a57,run-parts: failed to stat component /etc/network/if-post-down.d/avahi-daemon: No such file or directory,1
8f32db5e,"An active wireless connection, in infrastructure mode, involves no access point?",1
d3c8d35c,javaldx: Could not find a Java Runtime Environment!,52
95dafe0b,Please ensure that a JVM and the package libreoffice-java-common,52
6fc16673,is installed.,52
fdcc3254,If it is already installed then try removing ~/.config/libreoffice/4/user/config/javasettings_Linux_*.xml,52
99da3f35,Warning: failed to read path from javaldx,52
8e2fb763,Window manager warning: Invalid WM_TRANSIENT_FOR window <*> specified for <*>,63
64806584,"Called ""net usershare info"" but it failed: Falló al ejecutar el proceso hijo «net» (No such file or directory)",4
67f9bc5a,(root) CMD ([ -x /etc/init.d/anacron ] && if [ ! -d /run/systemd/system ]; then /usr/sbin/invoke-rc.d anacron start >/dev/null; fi),6
d271fdef,Condition check resulted in Run anacron jobs being skipped.,3
3395a539,autorefresh.go:479: autorefresco: todos los snaps están actualizados,1
7d5b1c61,[3481:3481:0227/132408.593051:ERROR:x11_drag_context.cc(149)] XConvertSelection failed for source-advertised target 576,1
1d107b8e,"[session uid=1000 pid=1323] Activating service name='org.gnome.gedit' requested by ':1.522' (uid=1000 pid=48900 comm=""file-roller /home/ramos/Descargas/log_analysis-mas"" label=""unconfined"")",2
50a8044b,"<*> audit: type=1400 <*> apparmor=""ALLOWED"" <*> profile=""libreoffice-oopslash"" name=""/tmp/OSL_PIPE_1000_SingleOfficeIPC_a176e9dd63f5c7cf8c9b8783418cb1"" <*> comm=""oosplash"" <*> <*> fsuid=1000 ouid=1000",55
55e127a2,../clutter/clutter/clutter-actor.c:10558: The clutter_actor_set_allocation() function can only be called from within the implementation of the ClutterActor::allocate() virtual function.,5
ad5a773d,fwupd.service: Succeeded.,1
e0f11f96,vte-spawn-49972e43-6cb4-404d-9067-51684cf8eca1.scope: Succeeded.,1
a559536a,vte-spawn-7af09819-000e-4910-80f5-e44ad202ce36.scope: Succeeded.,1
e080c23b,vte-spawn-19d045cb-20e0-4c3c-9df8-b4222869041c.scope: Succeeded.,1
36400673,vte-spawn-c5c02595-09c5-4c05-a795-360817135065.scope: Succeeded.,1
c7c191de,vte-spawn-19906515-d622-4a4a-a08c-53b81ce84c26.scope: Succeeded.,1
733aa9df,vte-spawn-89f7c72c-de7d-4a7e-82cc-9070a4b2beaf.scope: Succeeded.,1
fe233290,vte-spawn-e7ed2f69-ed96-4ca2-af8b-4c6401436d57.scope: Succeeded.,1
134e83ec,gnome-terminal-server.service: Succeeded.,7
1241613f,"[session uid=1000 pid=1323] Activating via systemd: service <*> <*> requested by <*> (uid=1000 <*> <*> <*> "" label=""unconfined"")",7
37dd5bdf,Starting GNOME Terminal Server...,7
2ab09c24,Started GNOME Terminal Server.,7
6977997a,vte-spawn-ff9078e4-3a17-4f93-a347-f08ef92b7711.scope: Succeeded.,1
e08063ce,Unable to connect to the Notification Watcher: GDBus.Error:org.freedesktop.DBus.Error.UnknownMethod: No such method “RegisterStatusNotifierItem”,2
4fbf2c6d,vte-spawn-579010b2-630f-42c2-b3ca-7890506c2f97.scope: Succeeded.,1
65335380,vte-spawn-04bcb567-285e-428f-979f-a2f29df852e7.scope: Succeeded.,1
c56374aa,Started Run anacron jobs.,4
8a17f0f2,Anacron 2.3 started on <*>,4
d3584692,vte-spawn-e059b7e9-51d0-4835-83fa-d7ba1cfc1d00.scope: Succeeded.,1
88af6792,"<*> handshake failed; returned -1, SSL error code 1, net_error <*>",3
e154fc00,vte-spawn-13a1f05c-05ab-48a1-ad5b-044411fe5ad1.scope: Succeeded.,1
3f2add30,gnome-launched-code_code.desktop-38031.scope: Succeeded.,1
df79d58c,vte-spawn-edc13f44-c4ec-453b-89d7-14ecaefdbf24.scope: Succeeded.,1
4fe58c5f,Started Application launched by <*>,3
7218c754,gnome-launched-x-terminal-emulator-57946.scope: Succeeded.,1
00a17ed1,vte-spawn-f0918b2a-de52-4ecd-932c-8bfc80232a07.scope: Succeeded.,1
55a74c88,Fontconfig error: Cannot load default config file: No such file: (null),1
fdae0832,"[53470.028352] ACPI Error: No installed handler for fixed event - PowerButton (2), disabling (20200528/evevent-255)",1
31210631,vte-spawn-4556afcc-2c19-4dd0-bf64-a787e6d37f9b.scope: Succeeded.,1
06446f6f,vte-spawn-ef11b959-e965-441f-924f-aa8d2b025e77.scope: Succeeded.,1
7e21cb19,"Warning: 'sandbox' is not in the list of known options, but still passed to Electron/Chromium.",1
cfe52e44,Starting Portal service...,1
c07386a2,Starting Portal service (GTK+/GNOME implementation)...,1
c7330144,Started Portal service (GTK+/GNOME implementation).,1
2bcedd17,Started Portal service.,1
76e1785e,Se está abriendo en una sesión de navegador existente.,1
077f0411,<info> <*> manager: sleep: <*> requested (sleeping: <*> enabled: yes),2
6a64cbb9,[<*>] offline,1
779e1fd2,Error adding children to desktop: desktopGrid is undefined,1
6e7b5e91,message repeated 4 times: [ Error adding children to desktop: desktopGrid is undefined],1
2cb377b9,Reached target Sleep.,1
1ca2e427,Starting Suspend...,1
c0516796,Suspending system...,1
8230c876,[57663.352449] PM: suspend entry (deep),1
9e600fc7,[57663.362758] Filesystems sync: 0.010 seconds,1
0225ddb2,[57663.481710] Freezing user space processes ... (elapsed 0.006 seconds) done.,1
e2ddee9d,<*> OOM killer <*>,2
c2b5882e,[57663.488532] Freezing remaining freezable tasks ... (elapsed 0.001 seconds) done.,1
f5e77eae,[57663.490377] printk: Suspending console(s) (use no_console_suspend to debug),1
69dbdd08,[57663.627255] sd 1:0:0:0: [sda] Synchronizing SCSI cache,1
c4536556,<*> sd 1:0:0:0: [sda] <*> disk,2
e9c26597,<*> ACPI: EC: <*> <*>,6
7b9966df,[57663.720078] ACPI: Preparing to enter system sleep state S3,1
43c40323,[57663.721150] PM: Saving platform NVS memory,1
2ab90c7a,[57663.721474] Disabling non-boot CPUs ...,1
a9071f48,<*> IRQ <*> no longer affine to <*>,4
a8927091,<*> smpboot: CPU <*> is now offline,3
acd2d940,[57663.740599] ACPI: Low-level resume complete,1
5df098df,[57663.740686] PM: Restoring platform NVS memory,1
a281c8ea,[57663.743410] Enabling non-boot CPUs ...,1
dfc59d30,[57663.743444] x86: Booting SMP configuration:,1
e13ca8f1,<*> smpboot: Booting Node 0 Processor <*> APIC <*>,3
bb268e6e,"<*> microcode: sig=0x806e9, pf=0x80, <*>",2
b7e2f7f3,<*> <*> is up,3
e70710b7,[57663.749149] ACPI: Waking up from system sleep state S3,1
6059e76e,[57664.158306] ata2: SATA link up 6.0 Gbps (SStatus 133 SControl 300),1
aa00eb81,[57664.160013] ata2.00: configured for UDMA/100,1
c875befb,[57664.160027] ahci 00<*>.0: port does not support device sleep,1
60dd8a72,[57664.279946] usb 1-6: device firmware changed,1
12a6e408,<*> acpi <*> Turning OFF,20
e82289d0,[57665.132452] mei_hdcp 00<*>.0-b638ab7e-94e2-4ea2-a552-d1c54b627f04: bound 00<*>.0 (ops i915_hdcp_component_ops [i915]),1
c4706724,<*> Bluetooth: hci0: using <*> file: <*>,2
4043b357,"[57665.133096] Bluetooth: hci0: QCA: patch rome 0x302 build 0x3e8, firmware rome 0x302 build 0x111",1
e0a87b60,[57665.135647] Restarting tasks ...,1
894af259,"[57665.154432] usb 1-6: USB disconnect, device number 8",1
c3bdf9e1,[57665.175896] done.,1
af99adfd,Endpoint unregistered: sender=:1.74 <*>,2
b37fee6f,Starting Daily apt download activities...,1
243361d5,Will run job `cron.daily' in 5 min.,1
